5QualifyingScene.js:493 Car Position - X: 1458, Y: 1023, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1457, Y: 1023, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1457, Y: 1022, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1456, Y: 1022, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1455, Y: 1022, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1454, Y: 1021, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1453, Y: 1021, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1452, Y: 1020, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1451, Y: 1020, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1450, Y: 1019, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1448, Y: 1018, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1447, Y: 1018, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1445, Y: 1017, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1443, Y: 1016, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1442, Y: 1015, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1440, Y: 1014, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1438, Y: 1013, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1435, Y: 1012, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1433, Y: 1011, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1431, Y: 1010, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1428, Y: 1009, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1426, Y: 1008, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1423, Y: 1007, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1420, Y: 1005, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1417, Y: 1004, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1414, Y: 1002, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1398, Y: 995, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1395, Y: 994, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1392, Y: 992, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1389, Y: 991, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1386, Y: 989, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1382, Y: 988, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1379, Y: 986, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1375, Y: 984, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1371, Y: 983, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1367, Y: 981, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1363, Y: 979, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1359, Y: 977, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1355, Y: 975, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1351, Y: 973, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1347, Y: 971, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1256, Y: 929, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1253, Y: 928, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1250, Y: 926, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1247, Y: 925, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1244, Y: 923, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1240, Y: 922, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1237, Y: 920, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1180, Y: 894, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1178, Y: 893, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1175, Y: 891, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1172, Y: 890, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1169, Y: 889, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1166, Y: 887, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1163, Y: 886, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1160, Y: 884, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1128, Y: 869, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1125, Y: 868, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1122, Y: 867, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1119, Y: 865, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1116, Y: 864, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1112, Y: 862, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1109, Y: 861, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1105, Y: 859, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1102, Y: 857, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1098, Y: 856, Rotation: -65
QualifyingScene.js:493 Car Position - X: 974, Y: 798, Rotation: -65
QualifyingScene.js:493 Car Position - X: 973, Y: 798, Rotation: -65
QualifyingScene.js:493 Car Position - X: 971, Y: 797, Rotation: -65
QualifyingScene.js:493 Car Position - X: 969, Y: 796, Rotation: -65
QualifyingScene.js:493 Car Position - X: 967, Y: 795, Rotation: -65
QualifyingScene.js:493 Car Position - X: 965, Y: 794, Rotation: -65
QualifyingScene.js:493 Car Position - X: 963, Y: 793, Rotation: -65
QualifyingScene.js:493 Car Position - X: 961, Y: 792, Rotation: -65
QualifyingScene.js:493 Car Position - X: 959, Y: 791, Rotation: -65
QualifyingScene.js:493 Car Position - X: 939, Y: 782, Rotation: -65
QualifyingScene.js:493 Car Position - X: 937, Y: 781, Rotation: -65
QualifyingScene.js:493 Car Position - X: 935, Y: 780, Rotation: -65
QualifyingScene.js:493 Car Position - X: 933, Y: 779, Rotation: -65
QualifyingScene.js:493 Car Position - X: 930, Y: 778, Rotation: -65
QualifyingScene.js:493 Car Position - X: 927, Y: 777, Rotation: -65
QualifyingScene.js:493 Car Position - X: 925, Y: 775, Rotation: -65
QualifyingScene.js:493 Car Position - X: 922, Y: 774, Rotation: -65
QualifyingScene.js:493 Car Position - X: 919, Y: 773, Rotation: -65
QualifyingScene.js:493 Car Position - X: 916, Y: 771, Rotation: -65
QualifyingScene.js:493 Car Position - X: 913, Y: 770, Rotation: -65
