Car Position - X: 1443, Y: 1397, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1443, Y: 1396, Rotation: -51
2QualifyingScene.js:493 Car Position - X: 1442, Y: 1396, Rotation: -51
2QualifyingScene.js:493 Car Position - X: 1441, Y: 1395, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1440, Y: 1394, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1439, Y: 1393, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1438, Y: 1393, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1437, Y: 1392, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1436, Y: 1391, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1435, Y: 1390, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1434, Y: 1389, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1432, Y: 1388, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1431, Y: 1387, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1429, Y: 1385, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1427, Y: 1384, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1426, Y: 1383, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1424, Y: 1381, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1422, Y: 1379, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1420, Y: 1378, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1418, Y: 1376, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1415, Y: 1374, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1413, Y: 1372, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1411, Y: 1371, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1408, Y: 1369, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1405, Y: 1366, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1403, Y: 1364, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1400, Y: 1362, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1397, Y: 1360, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1394, Y: 1357, Rotation: -51
QualifyingScene.js:493 Car Position - X: 1391, Y: 1355, Rotation: -54
QualifyingScene.js:493 Car Position - X: 1388, Y: 1352, Rotation: -56
QualifyingScene.js:493 Car Position - X: 1384, Y: 1350, Rotation: -58
QualifyingScene.js:493 Car Position - X: 1381, Y: 1348, Rotation: -61
QualifyingScene.js:493 Car Position - X: 1378, Y: 1345, Rotation: -63
QualifyingScene.js:493 Car Position - X: 1374, Y: 1343, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1370, Y: 1341, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1366, Y: 1340, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1362, Y: 1338, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1358, Y: 1336, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1354, Y: 1334, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1350, Y: 1332, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1346, Y: 1330, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1341, Y: 1328, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1337, Y: 1326, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1332, Y: 1324, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1327, Y: 1322, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1322, Y: 1319, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1317, Y: 1317, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1312, Y: 1315, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1307, Y: 1312, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1302, Y: 1310, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1296, Y: 1307, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1291, Y: 1305, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1285, Y: 1302, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1279, Y: 1299, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1273, Y: 1296, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1267, Y: 1294, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1261, Y: 1291, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1255, Y: 1288, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1249, Y: 1285, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1242, Y: 1282, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1236, Y: 1279, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1229, Y: 1276, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1222, Y: 1273, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1216, Y: 1270, Rotation: -65
QualifyingScene.js:493 Car Position - X: 1209, Y: 1266, Rotation: -65
